symbol,name,sector,subindustry,address,exchange,website
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey",New York Stock Exchange,http://www.amwater.com
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",New York Stock Exchange,http://www.americanexpress.com
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",New York Stock Exchange,http://www.acuitybrands.com
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",New York Stock Exchange,http://www.boeing.com
BAC,Bank of America Corp,Financials,Banks,"Charlotte, North Carolina",New York Stock Exchange,http://www.bankofamerica.com
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",New York Stock Exchange,http://www.baxter.com
BBT,BB&T Corporation,Financials,Banks,"Winston-Salem, North Carolina",New York Stock Exchange,http://www.bbt.com
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",New York Stock Exchange,http://www.bestbuy.com
BF.B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",New York Stock Exchange,http://www.brown-forman.com
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,"Weston, Massachusetts",Nasdaq Global Select,http://www.biogen.com
BK,The Bank of New York Mellon Corp.,Financials,Banks,"New York, New York",New York Stock Exchange,https://www.bnymellon.com
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",New York Stock Exchange,http://www.blackrock.com
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",New York Stock Exchange,http://www.ball.com
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",New York Stock Exchange,http://www.bms.com
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",New York Stock Exchange,http://www.berkshirehathaway.com
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",New York Stock Exchange,http://www.borgwarner.com
C,Citigroup Inc.,Financials,Banks,"New York, New York",New York Stock Exchange,http://www.citigroup.com
CA,"CA, Inc.",Information Technology,Systems Software,"Islandia, New York",Nasdaq Global Select,http://www.ca.com
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",New York Stock Exchange,http://www.cardinal.com
CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",New York Stock Exchange,http://www.caterpillar.com
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",New York Stock Exchange,https://www.chubb.com
CBG,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",New York Stock Exchange,http://www.cbre.com
CBS,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",New York Stock Exchange,http://www.cbscorporation.com
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",New York Stock Exchange,http://www.carnivalcorp.com
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",Nasdaq Global Select,http://www.cadence.com
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",New York Stock Exchange,http://www.churchdwight.com
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite,"Stamford, Connecticut",Nasdaq Global Select,https://www.spectrum.com
CI,CIGNA Corp.,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",New York Stock Exchange,http://www.cigna.com
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Denver, Colorado",New York Stock Exchange,http://www.chipotle.com
CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",New York Stock Exchange,http://www.centene.com
CNP,CenterPoint Energy,Utilities,MultiUtilities,"Houston, Texas",New York Stock Exchange,http://www.centerpointenergy.com
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",New York Stock Exchange,http://www.capitalone.com
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",New York Stock Exchange,http://www.campbellsoupcompany.com
CRM,Salesforce.com,Information Technology,Internet Software & Services,"San Francisco, California",New York Stock Exchange,http://www.salesforce.com
CSCO,Cisco Systems,Information Technology,Networking Equipment,"San Jose, California",Nasdaq Global Select,http://www.cisco.com
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",Nasdaq Global Select,http://www.cintas.com
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services,"Monroe, Louisiana",New York Stock Exchange,http://www.centurylink.com
CTXS,Citrix Systems,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",Nasdaq Global Select,http://www.citrix.com
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",New York Stock Exchange,http://www.chevron.com
D,Dominion Resources,Utilities,Electric Utilities,"Richmond, Virginia",New York Stock Exchange,http://www.dominionenergy.com
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",New York Stock Exchange,http://www.delta.com
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",New York Stock Exchange,http://www.dollargeneral.com
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV,"Burbank, California",New York Stock Exchange,http://www.disney.com
DISCA,Discovery Communications-A,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",Nasdaq Global Select,http://www.discoverycommunications.com
DISH,Dish Network,Consumer Discretionary,Cable & Satellite,"Meridian, Colorado",Nasdaq Global Select,http://www.dish.com
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,"Plano, Texas",New York Stock Exchange,http://www.drpeppersnapplegroup.com
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",New York Stock Exchange,http://www.darden.com
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",New York Stock Exchange,http://www.duke-energy.com
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",New York Stock Exchange,http://www.devonenergy.com
EA,Electronic Arts,Information Technology,Home Entertainment Software,"Redwood City, California",Nasdaq Global Select,http://www.ea.com
EBAY,eBay Inc.,Information Technology,Internet Software & Services,"San Jose, California",Nasdaq Global Select,http://www.ebay.com
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",New York Stock Exchange,http://www.ecolab.com
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",New York Stock Exchange,https://www.conedison.com
EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",New York Stock Exchange,http://www.equifax.com
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",New York Stock Exchange,https://www.edison.com
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",New York Stock Exchange,http://www.eastman.com
